CANNABIS,,,,,,,,,,,,,
Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) ,,,,,,,,,,,,,
Region,Sub-region,Country,Best,Low,High,Male,Female,Year,Age,Source,Method,"Adjustment/
 notes",Specific notes
Africa,East Africa,Kenya,2.10,0.30,4.00,,,2007,15-65,Govt,HHS,"b, e",
,,Kenya,7.10,,,,,2004,15-64 ,"ARQ, NGO, Council of Europe ","SS, A ","c, d, e, f ",
,,Madagascar,9.10,,,,,2004,15-64,ARQ,"SS, A","d, e",
,,Mauritius,1.08,,,,,2009,15-54,Government source,,a,
,,Mauritius,3.90,,,,,2004,15-54 ,ARQ ,,,
,North Africa,Algeria,0.52,,,1.06,0.03,2010,12+,ARQ,HHS,,
,,Egypt,6.24,2.90,9.58,,,2006,15-64,Govt;  Academic Research,"HHS, SS","a, d",
,,Morocco,4.22,,,,,2004,15-64,ARQ,HHS ,,
,,Tunisia,2.60,,,,,2013,15-64,ARQ,HHS,,
,Southern Africa,South Africa,3.65,2.88,4.42,,,2011,15-64,ARQ,SS,"d, e",
,,South Africa,4.26,3.52,6.18,,,2008,15-64 ,ARQ ,HHS ,"a, e ",
,,Zambia,9.50,4.00,15.60,,,2004,15-64,Govt;  Academic Research,SS,"d, e",
,,Zambia,17.70,,,,,2003,,UNODC Estimate ,,,
,West and Central Africa,Burkina Faso,2.90,,,,,2006,15-64,UNODC Estimate,,"d, e",
,,Cabo Verde,2.40,,,,,2012,15-64,UNODC/Govt.,HHS, ,
,,Cabo Verde,8.10,,,,,2004,15-64,UNODC Estimate,,"d, e",
,,Liberia,3.18,1.53,4.83,,,2008,15-64,UNODC Estimate,,"a, b, e",
,,Nigeria,14.30,11.76,16.84,,,2008,15-64,ARQ,HHS,"a, b, e",
,,Sierra Leone,5.42,3.52,7.32,,,2010,15-64,UNODC Estimate,,"a, b, e",
,,Togo,1.00,0.20,3.10,,,2009,15-64,UNODC Estimate,SS,"d, e",
,,Togo,2.73,,,,,2006,15-64 ,UNODC Estimate ,SS ,"d, e ",
Americas,Caribbean,Bahamas,5.54,3.20,7.89,,,2008,15-64,ARQ,SS,"d, e",
,,Bahamas,4.70,,,,,2003,15-64 ,UNODC Estimate ,SS ,"d, e ",
,,Barbados,8.30,,,,,2006,15-64,CICAD,HHS,,
,,Bermuda,10.90,10.70,11.20,,,2009,16-65,Government source,HHS,,
,,Dominican Republic,0.31,0.25,1.41,,,2008,15-64,ARQ,SS,"d, e",
,,Haiti,1.51,0.26,2.75,,,2010,15-64,UNODC Estimate,SS,"d, e",
,,Haiti,1.41,0.43,2.15,,,2005,15-64,UNODC Estimate,SS,"d, e",
,,Jamaica,7.21,4.25,10.17,,,2010,15-64,UNODC Estimate,SS,"d, e",
,,Jamaica,9.86,7.52,12.20,,,2006,15-64,Government source,SS,"d, e",
,,Puerto Rico,4.88,3.10,6.65,,,2005,15-64,Government source,SS,"d, e",
,,Saint Lucia,8.87,5.64,12.10,,,2010,15-64,UNODC Estimate,SS,"d, e",
,,Saint Lucia,9.00,,,,,2006,15-64,UNODC Estimate,SS,"d, e",
,,Trinidad and Tobago,4.03,1.55,6.52,,,2010,15-64,UNODC Estimate,SS,"d, e",
,,Trinidad and Tobago,4.66,2.91,6.42,,,2006,15-64,Government source,SS,"d, e",
,Central America,Belize,8.45,,,,,2005,12-65,CICAD,HHS,,
,,Costa Rica,2.76,,,4.40,1.07,2010,15-64,ARQ,HHS,,
,,Costa Rica,1.02,,,,,2006,12-70,ARQ ,HHS ,,
,,El Salvador,2.03,,,3.93,0.62,2014,12-65,ARQ ,HHS,,
,,El Salvador,0.39,0.35,0.43,,,2005,12-65,CICAD,HHS,,
,,Guatemala,4.80,,,,,2005,12-65,UNODC Estimate,"HHS, SS","c, d",
,,Honduras,0.83,0.41,1.59,,,2005,12-65,UNODC Estimate,SS,"d, e",
,,Honduras,1.50,,,,,2004,15-64 ,UNODC Estimate ,SS ,"d, e ",
,,Nicaragua,1.07,1.06,1.07,,,2006,12-65,UNODC Estimate,HHS,c,
,,Nicaragua,2.20,,,,,2002,12-65,CICAD ,HHS ,,
,,Panama,0.77,,,1.52,0.14,2015,12-65,ARQ,HHS,,Urban areas. Cannabis herb.
,,Panama,3.55,3.40,3.70,,,2003,12-65,UNODC Estimate,HHS,"d, e",
,North America,Canada,14.73,,,17.60,11.86,2015,15-64,ARQ,HHS,,
,,Canada,12.70,,,16.40,9.00,2013,15-64,ARQ,HHS,,
,,Mexico,1.20,,,2.20,0.30,2011,12-65,ARQ,HHS,,
,,Mexico,1.00,,,,,2008,12-65,Government source,HHS,,
,,United States of America,16.50,,,19.40,13.60,2015,15-64,ARQ,HHS,,Cannabis herb
,,United States of America,16.20,,,19.90,12.70,2014,15-64,ARQ,HHS,,
,South America,Argentina,3.20,,,4.70,1.70,2011,16-65,ARQ,HHS,,
,,Argentina,6.90,,,,,2006,12-65,ARQ,HHS ,,
,,Bolivia (Plurinational State of),1.27,,,1.86,0.81,2013,12-65,ARQ,HHS,,
,,Bolivia (Plurinational State of),4.50,,,8.90,1.10,2007,12-65,ARQ,HHS,,
,,Brazil,2.50,,,,,2016,15-64,Government source,HHS,,
,,Brazil,2.60,,,,,2005,12-65,Government source ,HHS,c,
,,Chile,11.83,,,15.37,8.38,2014,15-64,ARQ,HHS,,
,,Chile,7.47,,,10.52,4.52,2012,15-64,ARQ,HHS,,
,,Colombia,3.27,2.94,3.60,5.36,1.30,2013,12-65,ARQ,HHS,,
,,Colombia,2.27,1.93,2.61,3.79,0.93,2008,12-65,ARQ,,,
,,Ecuador,0.67,,,0.82,0.53,2013,12-64,Encuesta Nacional Sobre el uso de drogas en poblacion General ,HHS,,
,,Ecuador,0.70,,,,,2007,12-65,ARQ,HHS,,
,,Guyana,4.04,1.56,6.53,,,2010,15-64,UNODC Estimate,SS,"d, e",
,,Guyana,3.50,0.97,5.95,,,2008,15-64,UNODC Estimate,,,
,,Paraguay,1.60,,,,,2005,12-65,UNODC Estimate,,,
,,Peru,1.03,,,1.98,0.22,2010,12-65,ARQ,HHS,,
,,Peru,0.70,,,,,2006,15-64,Government source,HHS,,
,,Suriname,4.25,3.80,4.70,,,2007,12-65,Government source,HHS,,
,,Suriname,2.00,,,,,2002,15-64,UNODC Estimate ,,,
,,Uruguay,9.30,,,12.50,6.40,2014,15-65,ARQ,HHS,,
,,Uruguay,8.30,,,11.50,5.40,2011,15-64,ARQ,HHS,,
,,Venezuela (Bolivarian Republic of),1.56,,,,,2011,12-65,Government source,HHS,,
,,Venezuela (Bolivarian Republic of),0.85,,,,,2005,15-64 ,Government source ,HHS ,"a, e ",
Asia,Central Asia and Transcaucasia,Armenia,3.50,,,,,2003,15-64,UNODC Estimate,,,
,,Azerbaijan,3.50,,,,,2004,15-65,UNODC Estimate,,,
,,Georgia,2.70,1.20,4.30,,,2009,15-64,Government source/ NGO/Academic research,SS,"b, d, e",
,,Georgia,1.10,,,,,2005,15-64 ,ARQ ,SS ,"a, d, e ",
,,Kazakhstan,2.40,0.60,4.30,,,2012,15-64,ARQ,SS,d,
,,Kazakhstan,4.20,,,,,2003,15-64,INCSR,,,
,,Uzbekistan,4.20,,,,,2003,15-64,UNODC Estimate,,e,
,East and South-East Asia,Cambodia,3.50,,,,,2003,15-64,UNODC Estimate,,,
,,"China, Hong Kong SAR",0.40,0.23,1.99,,,2008,15-64,Government source,SS,"d, e",
,,"China, Macao SAR",0.67,,,,,2003,15-64,UNODC Estimate,R,"d, e",
,,Indonesia,0.18,,,0.33,0.04,2015,10-60,ARQ,HHS,,20 of 34 provinces.
,,Indonesia,0.50,,,,,2010,10-60,ARQ,HHS,a,
,,Japan,0.30,,,,,2011,15-64,UNODC Estimate,HHS,e,
,,Lao People's Democratic Republic,0.88,0.69,1.07,,,2008,15-64,UNODC report,SS,"c, d",
,,Malaysia,1.60,,,,,2003,15-64,UNODC Estimate,,,
,,Myanmar,0.94,,,,,2005,15-64,UNODC Estimate,,"d, e",
,,Philippines,0.61,,,,,2012/13,10-69,ARQ,HHS,,17 of 18 regions. Cannabis herb.
,,Philippines,0.74,,,,,2008,10-64,ARQ,HHS,,
,,Republic of Korea,0.29,0.07,0.55,,,2004,15-64,ARQ,HHS,"c, e",
,,Taiwan Province of China,0.30,,,,,2005,12-64,AMCEWG,,,
,,Thailand,1.20,,,,,2007,12-65,ARQ,HHS,,
,Near and Middle East /South-West Asia,Afghanistan,4.28,3.37,5.18,8.10,0.20,2009,15-64,UNODC/ Govt. Source,HHS,,
,,Afghanistan,3.59,,,,,2005,15-64,UNODC Study (ICMP) ,, ,
,,Israel,8.88,,,12.30,5.50,2009,18-40,ARQ,HHS,,
,,Israel,8.50,,,,,2005,18-40 ,ARQ ,,,
,,Kuwait,3.10,,,,,2005,15-64,UNODC Estimate,,,
,,Lebanon,2.00,0.50,3.50,,,2009,15-64,Government source/MEDSPAD,SS,"d, e",
,,Lebanon,6.40,,,,,2001,15-64,ARQ ,,d ,
,,Pakistan,3.60,3.10,4.00,6.70,0.20,2012,15-64,Government/UNODC,HHS/I,,
,,Pakistan,3.90,,,,,2000,15-64,INCSR ,,,
,,Saudi Arabia,0.30,,,,,2006,15-64,Government source/ NGO/Academic research,R,,
,,United Arab Emirates,5.35,,,,,2006,15-64,UNODC Estimate,,,
,South Asia,Bangladesh,3.30,,,,,2004,15-54,Academic research,HHS,"a, e,f",
,,Bhutan,4.20,1.80,6.50,,,2009,15-64,UNODC Estimate,,,
,,Maldives,2.55,,,,,2012,15-64,Government source,,,
,,Sri Lanka,1.43,,,,,2010,15-64,UNODC Estimate,,h,
Europe,Eastern Europe,Belarus,1.07,0.90,1.30,,,2007,15-64,ESPAD/UNODC Estimate,SS,"c, d, e",
,,Republic of Moldova,0.70,,,,,2010,15-64,Government source,HHS,,
,,Republic of Moldova,0.90,,,,,2008,15-64 ,Government source ,HHS ,,
,,Russian Federation,3.49,3.46,3.51,,,2007,15-64,ESPAD/UNODC Estimate,SS,"d, e",Approximate adjustment
,,Ukraine,2.13,1.29,2.98,,,2015,15-64,ESPAD/UNODC Estimate,SS,"d, e",
,,Ukraine,2.90,1.20,4.60,,,2011,15-64,UNODC Estimate,SS,d,
,South-Eastern Europe,Albania,5.60,,,,,2014,15-64,Public health research,HHS,,
,,Albania,1.80,,,,,2006,15-64,Government source,SS,"d, e",
,,Bosnia and Herzegovina,1.60,0.32,2.89,,,2011,15-64,ESPAD/UNODC Estimate,SS,d,
,,Bosnia and Herzegovina,2.80,2.75,4.63,,,2007,15-64 ,ESPAD/UNODC Estimate ,SS ,"c, d, e ",
,,Bulgaria,3.50,,,5.10,1.90,2012,15-64,ARQ,HHS,,
,,Bulgaria,2.50,,,,,2008,15-64,ARQ,HHS,,
,,Croatia,7.90,,,11.50,4.30,2015,15-64,ARQ,HHS,,
,,Croatia,5.00,,,,,2012,15-64,EMCDDA,HHS,,
,,Montenegro,1.82,1.10,2.54,,,2015,15-64,ESPAD/UNODC Estimate,SS,"d, e",
,,Montenegro,1.90,0.43,3.30,,,2011,15-64,ESPAD/UNODC Estimate,SS,d,
,,Romania,2.00,,,2.30,1.80,2013,15-64,ARQ,HHS,,
,,Romania,0.30,,,,,2010,15-64 ,ARQ,HHS,,
,,Serbia,1.60,,,2.50,0.60,2014,18-64,Government source,HHS,,
,,Serbia,4.07,2.75,5.39,,,2006,15-64,Government source,HHS,"a, d, e",
,,The former Yugoslav Republic of Macedonia,1.13,0.68,1.58,,,2015,15-64,ESPAD/UNODC Estimate,SS,"d, e",
,,The former Yugoslav Republic of Macedonia,0.63,0.46,2.38,,,2008,15-64,ESPAD/UNODC Estimate,SS,"d, e",
,,Turkey,0.30,,,,,2011,15-64,EMCDDA,HHS,,
,,Turkey,1.90,,,,,2003,15-64,UNODC Estimate,,,
,Western and Central Europe,Austria,6.40,5.50,7.20,7.20,5.60,2015,15-64,Government source,HHS,,
,,Austria,3.50,,,,,2008,15-64,ARQ,HHS,,
,,Belgium,4.60,,,6.30,2.90,2013,15-64,ARQ,HHS,,
,,Belgium,5.10,,,7.20,3.20,2008,15-64,ARQ,HHS,,
,,Cyprus,2.20,,,3.50,1.00,2012,15-64,ARQ,HHS,,
,,Cyprus,4.40,,,,,2009,15-64,ARQ,HHS,,
,,Czechia,11.40,,,15.40,7.30,2014,15-64 ,ARQ,HHS,,
,,Czechia,8.90,,,13.20,4.50,2013,15-64,ARQ,HHS,,
,,Denmark,6.90,,,9.20,5.10,2013,16-64,ARQ,HHS,,
,,Denmark,5.40,,,,,2010,16-64,ARQ,HHS,,
,,Estonia,6.00,,,,,2008,15-64,ARQ,HHS,,
,,Estonia,4.60,,,,,2003,15-64 ,ARQ ,HHS ,,
,,Finland,6.80,,,9.20,4.30,2014,15-64,ARQ,HHS,,
,,Finland,4.60,,,5.80,3.30,2010,15-64,ARQ,HHS,,
,,France,11.10,,,15.00,7.40,2014,15-64,ARQ,HHS,,
,,France,8.40,,,11.80,5.20,2010,15-64,ARQ,HHS,,
,,Germany,6.10,5.60,6.70,7.40,4.90,2015,18-64,Academic,HHS,,
,,Germany,4.50,,,6.00,3.00,2012,18-64,ARQ,HHS,,
,,Greece,1.70,,,,,2004,15-64,ARQ,,,
,,Greenland,7.60,,,,,2003,15-64,ESPAD/UNODC Estimate,SS,"d, e",
,,Hungary,1.53,,,2.46,0.81,2015,15-64,ARQ,HHS,,
,,Hungary,2.30,1.70,2.90,,,2007,18-64,ARQ,HHS,,
,,Iceland,6.60,,,,,2012,18-67,ARQ/Government,HHS,,
,,Iceland,3.40,1.67,5.16,,,2011,15-64,ESPAD/UNODC Estimate,SS,d,
,,Ireland,6.00,,,9.10,2.90,2011,15-64,ARQ,HHS,,
,,Ireland,6.30,,,,,2007,15-64 ,Government source ,HHS ,,
,,Italy,9.20,,,11.90,6.60,2013-2014,15-64,ARQ,HHS,,
,,Italy,4.00,,,5.19,3.00,2012,15-64,ARQ,HHS,,
,,Latvia,4.20,,,6.90,1.70,2015,15-64,ARQ,HHS,,
,,Latvia,4.00,,,5.70,2.40,2011,15-64,ARQ,HHS,,
,,Lithuania,2.30,,,3.60,1.00,2012,15-64,ARQ,HHS,,
,,Lithuania,5.60,,,,,2008,15-64,ARQ,HHS,,
,,Luxembourg,5.20,3.20,7.10,,,2010,15-64,ARQ,SS,d,
,,Luxembourg,6.60,4.50,8.66,,,2006,15-64,ARQ,SS,d,
,,Malta,0.90,,,,,2013,15-64,ARQ,HHS,,
,,Malta,3.10,1.39,4.82,,,2011,15-64,ESPAD/UNODC Estimate,SS,d,
,,Netherlands,8.00,,,10.50,5.40,2014,15-64,ARQ,HHS,,
