CANNABIS,,,,,,,,,,,,,
,,Germany,0.80,,,1.30,0.30,2012,18-64,ARQ,HHS,,cocaine and crack
,,Greece,0.10,,,,,2004,15-64,ARQ,,,
,,Hungary,0.31,,,0.50,0.14,2015,15-64,ARQ,HHS,,
,,Hungary,0.20,0.00,0.40,,,2007,18-64,ARQ,HHS,,
,,Iceland,1.06,0.29,1.83,,,2015,15-64,ESPAD/UNODC Estimate ,SS,"d, e",
,,Iceland,0.92,0.35,1.50,,,2011,15-64,ESPAD/UNODC Estimate,SS,"d, e",
,,Ireland,1.50,,,2.30,0.70,2011,15-64,ARQ,HHS,,cocaine and crack
,,Ireland,1.70,,,,,2007,15-64 ,Government source ,HHS ,,
,,Italy,1.10,,,1.40,0.70,2013-2014,15-64,ARQ,HHS,,
,,Italy,0.60,,,1.01,0.25,2012,15-64,ARQ,HHS,,
,,Latvia,0.50,,,0.80,0.30,2015,15-64,ARQ,HHS,,Only cocaine salt
,,Latvia,0.20,,,0.40,0.10,2011,15-64,ARQ,HHS,,cocaine only
,,Lithuania,0.20,,,0.30,0.00,2012,15-64,ARQ,HHS,,
,,Lithuania,0.20,,,,,2008,15-64,ARQ,HHS,,
,,Luxembourg,1.04,0.30,1.80,,,2010,15-64,ARQ,SS,d,
,,Luxembourg,0.90,,,,,2003,15-64,UNODC Estimate,,,
,,Malta,0.50,,,,,2013,15-64,ARQ,HHS,,
,,Malta,1.78,0.69,2.86,,,2011,15-64,ESPAD/UNODC Estimate,SS,"d, e",
,,Netherlands,1.60,,,2.20,1.00,2014,15-64,ARQ,HHS,,
,,Netherlands,1.20,,,,,2009,15-64,ARQ,HHS,,
,,Norway,1.00,,,1.70,0.30,2015,16-64,ARQ,HHS,,Cocaine salt
,,Norway,1.00,,,1.60,0.30,2014,16-64,ARQ,HHS,,
,,Poland,0.20,,,0.40,,2014/15,15-64,ARQ,HHS,,
,,Poland,0.20,,,0.30,,2012,15-64,ARQ,HHS,,
,,Portugal,0.20,,,0.30,0.10,2012,15-64,ARQ,HHS,,
,,Portugal,0.60,,,,,2007,15-64,ARQ,HHS,,
,,Slovakia,0.10,,,0.30,0.00,2015,15-64,ARQ,HHS,,
,,Slovakia,0.20,,,,,2010,15-64,EMCDDA,HHS,,
,,Slovenia,0.50,,,0.70,0.30,2012,15-64,ARQ,HHS,,cocaine only
,,Slovenia,0.60,,,,,2008,15-64,ARQ,HHS,e,
,,Spain,2.20,,,3.30,1.00,2013,15-64,ARQ,HHS,,cocaine and crack
,,Spain,2.30,,,3.60,0.90,2011,15-64,ARQ,HHS,,
,,Sweden,0.38,,,,,2013,17-64,ARQ,HHS,,
,,Sweden,0.50,,,,,2008,15-64,ARQ,HHS,,
,,Switzerland,0.66,,,,,2015,15-64,ARQ,HHS,a,Cocaine salt
,,Switzerland,0.50,,,0.70,0.30,2014,15-64,ARQ,HHS,,cocaine only
,,United Kingdom (England and Wales),2.25,,,,,2015/16,16-59,Government source,HHS,,Crime Survey for England and Wales**
,,United Kingdom (England and Wales),2.40,,,3.50,1.30,2014/15,16-59,ARQ,HHS,,Crime Survey for England and Wales**
,,United Kingdom (Northern Ireland),1.80,,,,,2014/15,15-64,Government source,HHS,,
,,United Kingdom (Northern Ireland),1.50,,,,,2011,15-64,Government source,HHS,,
,,United Kingdom (Scotland),2.34,,,3.82,0.90,2014/15,16-64,Government source ,HHS,,
,,United Kingdom (Scotland),2.20,,,3.30,1.10,2012/13,16-64,Government source,HHS,,
Oceania,Oceania,Australia,2.10,,,2.90,1.40,2013,14+,ARQ,HHS,,
,,Australia,2.10,,,,,2010,14+,ARQ,HHS,,
,,New Zealand,0.60,0.30,0.80,0.90,0.30,2008,16-64,Government source,HHS,,Cocaine and crack
,,New Zealand,0.76,,,,,2006,15-64 ,ARQ ,HHS ,a ,
"Except where the prevalence values are taken from household surveys, changes between years need to be interpreted with caution as they might reflect a change in the methodology or the data source from which the estimate was derived and therefore should not be considered as a change in prevalence.

Method: HHS=Household survey, SS=School survey, A=Adjusted from other sources, I=Indirect estimates, R=Registry.

UNODC Adjustments: a=adjusted for age (15-64), b=population-based/household-type study/survey, c=adjusted from a limited geographic population-based study/survey, d=adjusted from school/youth survey, e=adjusted from lifetime/monthly prevalence adjusted to annual prevalence, f=adjusted from specialized population surveys (including Rapid Assessments), g=adjusted from treatment data, h=adjusted from drug registries, i=adjusted from HIV, problematic drug users (only for heroin), j=lifetime prevalence reported, x=figure may include non-medical use of prescription opioids, z=figures may also include other non-ATS stimulants, z*= figures include the use of prescription stimulants, (non-prescription/non-therapeutic use). 

The 'Method' and 'Adjustment/notes' columns have been completed only for more recent data included in previous and present issues of the World Drug Report. ",,,,,,,,,,,,,
"AMPHETAMINES
(includes both amphetamine and methamphetamine)",,,,,,,,,,,,,
Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) ,,,,,,,,,,,,,
Region,Sub-region,Country,Best,Low,High,Male,Female,Year,Age,Source,Method,"Adjustment/
 notes",Specific notes
Africa,North Africa,Algeria,0.03,,,0.06,0.01,2010,12+,ARQ,HHS   ,,
,,Egypt,0.48,0.43,0.52,,,2006,15-64,Govt;  Academic Research,"HHS, SS","a, b, d",
,,South Africa,1.02,0.75,1.37,,,2008,15-64,ARQ,HHS,"a, e",
,Southern Africa,Zambia,0.10,,,,,2003,15-64,UNODC Estimate,,,
,West and Central Africa,Nigeria,1.40,0.71,2.01,,,2008,15-64,ARQ,HHS,"a, b, e",
,,Nigeria,1.05,,,,,1999,,UNODC Estimate ,,,
Americas,Caribbean,Bahamas,0.43,0.13,1.06,,,2008,15-64,ARQ,SS,"d, e",
,,Bahamas,0.29,,,,,2003,15-64 ,UNODC Estimate ,,"d, e ",
,,Barbados,0.20,,,,,2006,12-65,CICAD,HHS,z,
,,Bermuda,0.10,0.00,0.10,,,2009,16-65,Government source,HHS,,
,,Dominican Republic,0.95,0.04,2.59,,,2008,15-64,ARQ,SS,"d, e, z",
,,Dominican Republic,1.10,,,,,2003,15-64 ,UNODC Estimate ,,"d, e ",
,,Grenada,0.70,,,,,2005,15-64,ARQ,,,
,,Jamaica,0.81,0.13,1.50,,,2010,15-64,ARQ,SS,"d, e",
,,Jamaica,1.14,0.39,1.91,,,2006,15-64 ,Government source ,SS ,"d, e ",
,,Puerto Rico,0.43,0.13,1.06,,,2005,15-64,Government source,SS,"d, e",
,,Trinidad and Tobago,0.70,0.23,1.38,,,2006,15-64,UNODC Estimate,SS,"d, e, z",
,,Trinidad and Tobago,0.78,,,,,2002,15-64 ,UNODC Estimate ,,"d, e ",
,Central America,Belize,1.35,,,,,2005,12-65,CICAD,HHS,z,
,,El Salvador,0.38,,,0.58,0.23,2014,12-65,ARQ,HHS,z**,Includes prescription stimulants
,,Guatemala,0.91,,,,,2005,15-64,UNODC Estimate,,"d, e",
,,Honduras,0.84,,,,,2005,15-64,UNODC Estimate,,"d,e",
,,Nicaragua,0.76,,,,,2003,15-64,UNODC Estimate,,d,
,,Panama,1.20,,,,,2003,12-65,CICAD,HHS,z,
,North America,Canada,0.25,,,,,2015,15-64,ARQ,HHS,,Amphetamine
,,Canada,0.20,,,0.20,0.20,2013,15-64,ARQ,HHS,,Amphetamine/methamphetamine
,,Mexico,0.12,0.04,0.19,0.20,0.10,2011,12-65,Government Source,HHS,,
,,Mexico,0.02,,,,,2008,12-65,Government source,HHS,,
,,United States of America,2.90,2.50,3.30,,,2015,15-64,UNODC Estimate,HHS,,Includes methamphetamine and prescription stimulants
,,United States of America,1.70,,,,,2014,15-64,Government,,,
,South America,Bolivia (Plurinational State of),0.50,,,0.50,0.40,2007,12-65,ARQ,HHS,,Amphetamines
,,Brazil,0.30,,,,,2016,15-64,Government Source ,HHS,,
,,Chile,0.06,,,0.06,0.06,2014,15-64,ARQ,HHS,,Amphetamines
,,Chile,0.08,,,0.14,0.03,2012,15-64,ARQ,HHS,,Amphetamines
,,Colombia,0.06,,,,,2008,12-65,ARQ,HHS,,Includes prescription stimulants
,,Ecuador,0.20,,,,,2007,15-64,ARQ,HHS,z*,Includes prescription stimulants
,,Ecuador,0.21,,,,,2005,15-64 ,UNODC Estimate ,SS,"d, e , z",
,,Paraguay,0.51,,,,,2005,15-64,UNODC Estimate,SS,"d, e, z",
,,Peru,0.20,,,,,2006,12-64,ARQ,HHS,,
,,Suriname,0.50,,,,,2007,12-65,CICAD,HHS,,
,,Suriname,0.60,,,,,2002,15-64 ,UNODC Estimate ,,"d, e ",
,,Uruguay,0.04,,,,,2014,15-65,ARQ,HHS,z,Includes prescription stimulants
,,Uruguay,0.01,,,0.20,0.02,2011,15-65,ARQ,HHS,,Methamphetamine
,,Venezuela (Bolivarian Republic of),0.47,0.41,0.53,,,2011,15-64,Government source,HHS,z*,Includes prescription stimulants
,,Venezuela (Bolivarian Republic of),0.60,,,,,2002,15-64 ,UNODC Estimate ,,"d, e ",
Asia,Central Asia and Transcaucasia,Armenia,0.04,,,,,2005,15-64,UNODC Estimate,HHS,,
,,Georgia,0.56,0.10,1.06,,,2009,15-64,Government source/ NGO/Academic research,SS,"b, d, e",
,East and South-East Asia,Brunei Darussalam,0.25,,,,,2006,15-64,UNODC Estimate,,g,
,,Cambodia,0.60,,,,,2004,15-64,UNODC Estimate,,"d, e",
,,"China, Hong Kong SAR",0.35,0.07,1.11,,,2008,15-64,Government source,SS ,"d, e",
,,Indonesia,0.09,,,0.20,0.00,2015,10-60,ARQ,HHS,,20 of 34 provinces. Methamphetamine.
,,Indonesia,0.18,,,,,2010,10-60,ARQ,HHS,,
,,Japan,0.30,0.03,0.40,,,2011,15-64,UNODC Estimate,HHS,e,
,,Japan,0.20,0.18,0.22,,,2009,15-64 ,UNODC Estimate ,HHS ,e ,
,,Lao People's Democratic Republic,1.39,1.07,1.71,,,2008,15-64,Academic research,SS,"a, c, d, e",
,,Malaysia,0.55,,,,,2005,15-64,UNODC Estimate,,"d, g, h",
,,Myanmar,0.22,,,,,2005,15-64,UNODC Estimate,,"d, f",
,,Philippines,2.13,1.91,2.35,,,2008,15-64,Government source,HHS,"c, e",
,,Republic of Korea,0.12,0.08,0.16,,,2004,15-64,ARQ,HHS,"b, c, e",
,,Taiwan Province of China,0.60,,,,,2005,12-64,AMCEWG,,,
,,Thailand,1.40,,,,,2007,12-65,ARQ,HHS,,
,,Viet Nam,0.22,,,,,2003,15-64,UNODC Estimate,,h,
,Near and Middle East /South-West Asia,Afghanistan,0.00,,,,,2009,15-64,UNODC/ Govt. Source,HHS,,
,,Israel,1.01,,,1.63,0.31,2009,18-40,ARQ,HHS,,
,,Israel,0.40,,,,,2005,18-40 ,ARQ ,,,
,,Kuwait,0.27,,,,,2005,15-64,UNODC Estimate,,g,
,,Pakistan,0.12,0.04,0.20,0.10,0.14,2012,15-64,Government/UNODC,HHS/I,z*,Includes prescription stimulants
,,Saudi Arabia,0.40,,,,,2006,15-64,UNODC Estimate,,g,
,South Asia,Maldives,0.10,,,,,2012,15-64,Government source,HHS,,
Europe,Eastern Europe,Belarus,0.35,,,,,2006,15-64,UNODC Estimate,,g,
,,Republic of Moldova,0.03,0.03,0.04,,,2008,15-64,Government source,HHS,e,
,,Russian Federation,0.39,0.22,0.56,,,2007,15-64,ESPAD/UNODC Estimate,SS,"d, e",Approximate adjustment
,,Ukraine,0.30,0.13,0.48,,,2015,15-64,ESPAD/UNODC Estimate,SS,"d, e",
,,Ukraine,0.72,0.19,1.25,,,2011,15-64,ARQ,SS,"d, e",
,South-Eastern Europe,Albania,0.10,,,,,2014,15-64,Public health research,HHS,,Amphetamine
,,Albania,0.02,,,,,2004,15-64,ARQ,,,
,,Bosnia and Herzegovina,0.50,0.09,0.91,,,2011,15-64,ARQ,SS,"b, d, e",
,,Bosnia and Herzegovina,1.04,0.37,1.71,,,2008,15-64 ,ESPAD/UNODC Estimate ,SS ,"c, d, e ",
,,Bulgaria,0.65,0.60,0.70,0.85,0.40,2012,15-64 ,ARQ,HHS,,
,,Bulgaria,0.95,0.90,1.00,,,2008,15-64 ,ARQ,HHS,,
,,Croatia,1.00,,,1.60,0.40,2015,15-64,ARQ,HHS,,Amphetamine
,,Croatia,0.80,,,,,2012,15-64,EMCDDA,HHS,,
,,Montenegro,0.66,0.28,1.04,,,2015,15-64,ESPAD/UNODC Estimate,SS,"d, e",
,,Montenegro,0.72,0.19,1.25,,,2011,15-64,ESPAD/UNODC Estimate,SS,"d, e",
,,Romania,0.10,,,0.10,0.10,2013,15-64,ARQ,HHS,,Amphetamine
,,Romania,0.03,,,,,2010,15-64 ,EMCDDA,HHS,,
,,Serbia,0.10,,,0.20,0.10,2014,18-64,Government sources,HHS,,
,,Serbia,0.24,0.12,0.47,,,2006,15-64,Government sources,HHS,"a, e",
,,The former Yugoslav Republic of Macedonia,0.33,0.14,0.53,,,2015,15-64,ESPAD/UNODC Estimate,SS,"d, e",
,,Turkey,0.20,,,,,2003,15-64,UNODC Estimate,,,
,Western and Central Europe,Austria,0.40,0.20,0.60,0.50,0.40,2015,15-64,Government source,HHS,,
,,Austria,0.50,,,,,2008,15-64,Government source,HHS,a,
,,Belgium,0.50,,,0.60,0.30,2013,15-64,ARQ,HHS,,
,,Belgium,0.90,,,1.40,0.40,2008,15-64,ARQ,HHS,,
,,Cyprus,0.30,,,0.50,0.10,2012,15-64,ARQ,HHS,,
,,Cyprus,0.30,,,,,2009,15-64,ARQ,HHS,,
,,Czechia,0.80,,,1.40,0.20,2014,15-64 ,ARQ,HHS,,Methamphetamine
,,Czechia,0.20,,,0.20,0.20,2013,15-64,ARQ,HHS,,
,,Denmark,0.60,,,1.00,0.30,2013,16-64,ARQ,HHS,,
,,Denmark,0.70,,,,,2010,16-64,ARQ,HHS,,
,,Estonia,1.00,,,,,2008,15-64,ARQ,HHS,,
,,Estonia,1.30,,,,,2003,15-64 ,ARQ ,HHS ,,
,,Finland,1.10,,,1.60,0.60,2014,15-64,ARQ,HHS,,Amphetamine
,,Finland,0.80,,,1.20,0.40,2010,15-64,ARQ,HHS,,
,,France,0.30,,,0.40,0.20,2014,15-64,ARQ,HHS,,
,,France,0.20,,,0.30,0.10,2010,15-64,ARQ,,,
,,Germany,1.10,0.80,1.40,1.30,0.80,2015,18-64,Academic,HHS,,Amphetamine and methamphetamine
,,Germany,0.70,,,1.20,0.30,2012,18-64,ARQ,HHS,,
,,Greece,0.20,,,,,2004,15-64,ARQ,,,
,,Hungary,0.45,,,0.82,0.13,2015,15-64,ARQ,HHS,,Amphetamine
,,Hungary,0.50,0.20,0.80,,,2007,18-64,ARQ,HHS,,
,,Iceland,0.78,0.21,1.34,,,2015,15-64,ESPAD/UNODC Estimate,SS,"d, e",
,,Iceland,0.93,0.29,1.57,,,2011,15-64,ESPAD/UNODC Estimate,SS,"d, e",
,,Ireland,0.40,,,0.40,0.40,2011,15-64,ARQ,HHS,,
,,Ireland,0.40,,,,,2007,15-64 ,Government source ,HHS ,,
,,Italy,0.20,,,0.30,0.10,2013-2014,15-64,ARQ,HHS ,,
,,Italy,0.09,,,0.09,0.09,2012,15-64,ARQ,HHS,,
,,Latvia,0.30,,,0.50,0.20,2015,15-64,ARQ,HHS,,Amphetamine
,,Latvia,0.30,,,0.50,0.10,2011,15-64,ARQ,HHS,,
,,Lithuania,0.20,,,0.50,0.00,2012,15-64,ARQ,HHS,,
,,Lithuania,0.70,,,,,2008,15-64,ARQ,HHS,,
,,Luxembourg,0.73,0.21,1.25,,,2010,15-64,ARQ,SS,d   ,
,,Luxembourg,0.98,0.35,1.61,,,2006,15-64,ARQ,SS,d   ,
,,Malta,0.00,,,,,2013,15-64,ARQ,HHS,,
,,Malta,0.93,0.29,1.57,,,2011,15-64,ESPAD/UNODC Estimate,SS,"d, e",
,,Netherlands,1.30,,,,,2014,15-64,ARQ,HHS,,
,,Netherlands,0.40,,,,,2009,15-64,ARQ,HHS,,
,,Norway,0.20,,,0.30,0.00,2015,16-64,ARQ,HHS,,Amphetamine
,,Norway,0.60,,,0.90,0.20,2014,16-64,ARQ,HHS,,
,,Poland,0.20,,,0.30,,2014/15,15-64,ARQ,HHS,,
,,Poland,0.60,,,0.80,0.30,2012,15-64,ARQ,HHS,,
,,Portugal,0.05,0.05,0.05,0.10,0.00,2012,15-64,ARQ,HHS,,
,,Portugal,0.20,,,,,2007,15-64,ARQ,HHS,,
,,Slovakia,0.40,,,0.70,0.10,2015,15-64,ARQ,HHS,,
,,Slovakia,0.12,,,,,2010,15-64,EMCDDA,HHS,,
,,Slovenia,0.30,,,0.50,0.10,2012,15-64,ARQ,HHS,,
,,Slovenia,0.72,0.19,1.25,,,2011,15-64,ESPAD/UNODC Estimate,SS,"d, e",
,,Spain,0.60,,,0.80,0.40,2013,15-64,ARQ,HHS,,
,,Spain,0.60,,,0.90,0.30,2011,15-64,ARQ,HHS,,
,,Sweden,0.72,,,0.96,0.47,2013,17-64,ARQ,HHS,,
,,Sweden,0.80,,,,,2008,15-64,ARQ,HHS,,
,,Switzerland,0.09,,,,,2015,15-64,Government source,HHS,a,"Amphetamine, including prescription amphetamine"
,,Switzerland,0.06,,,,,2015,15-64,Government source,HHS,a,Methamphetamine
,,Switzerland,0.27,,,0.29,0.26,2013,15-64,ARQ,HHS,,
,,United Kingdom (England and Wales),0.60,,,0.81,0.40,2015/16,16-59,Government source,HHS,,Amphetamine. Crime Survey for England and Wales**
,,United Kingdom (England and Wales),0.60,,,0.80,0.40,2014/15,16-59,ARQ,HHS,,Amphetamine. Crime Survey for England and Wales**
,,United Kingdom (Northern Ireland),0.50,,,,,2014/15,15-64,Government source,HHS,,
,,United Kingdom (Northern Ireland),1.10,,,,,2011,15-64,Government source,HHS,,
,,United Kingdom (Scotland),0.82,,,1.37,0.29,2014/15,16-64,Government source ,HHS,,Amphetamine and crystal methamphetamine
,,United Kingdom (Scotland),0.90,,,1.40,0.30,2012/13,16-64,Government source,HHS,,
Oceania,Oceania,Australia,2.10,,,2.70,1.50,2013,14+,ARQ,HHS,,Methamphetamine
,,Australia,2.10,,,,,2010,14+,ARQ,HHS,,
,,New Zealand,0.90,0.70,1.10,1.20,0.70,2015,16-64,Government source,HHS,,2014/15 New Zealand Health Survey
,,New Zealand,1.10,0.80,1.40,1.50,0.70,2014,15-64 ,Government source,HHS,,2013/14 New Zealand Health Survey
"Except where the prevalence values are taken from household surveys, changes between years need to be interpreted with caution as they might reflect a change in the methodology or the data source from which the estimate was derived and therefore should not be considered as a change in prevalence.

Where a country has reported a combined prevalence for amphetamines and other stimulants these have been reported under ""Amphetamines"" and a flag included to state if this includes prescription stimulants. Where a combined prevalence has not been reported by the Member State and the prescription stimulant prevalence is known, this has been reported under ""Prescription stimulants"". 

Method: HHS=Household survey, SS=School survey, A=Adjusted from other sources, I=Indirect estimates, R=Registry. 

UNODC Adjustments: a=adjusted for age (15-64), b=population-based/household-type study/survey, c=adjusted from a limited geographic population-based study/survey, d=adjusted from school/youth survey, e=adjusted from lifetime/monthly prevalence adjusted to annual prevalence, f=adjusted from specialized population surveys (including Rapid Assessments), g=adjusted from treatment data, h=adjusted from drug registries, i=adjusted from HIV, problematic drug users (only for heroin), j=lifetime prevalence reported, x=figure may include non-medical use of prescription opioids, z=figures may also include other non-ATS stimulants, z*= figures include the use of prescription stimulants, (non-prescription/non-therapeutic use),  z**= figures only include prescription stimulants. 

The 'Method' and 'Adjustment/notes' columns have been completed only for more recent data included in previous and present issues of the World Drug Report. ",,,,,,,,,,,,,
"""Ecstasy""-type substances",,,,,,,,,,,,,
Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) ,,,,,,,,,,,,,
Region,Sub-region,Country,Best,Low,High,Male,Female,Year,Age,Source,Method,"Adjustment/
 notes",Specific notes
Africa,East Africa,Kenya,0.25,0.20,0.30,,,2007,15-65,Govt,HHS,"b, e",
,North Africa,Algeria,0.02,,,0.02,0.01,2010,12+,ARQ,HHS,,
,Southern Africa,South Africa,0.31,0.24,0.38,,,2011,15-64,ARQ,SS,"b, d, e",
,,South Africa,0.40,,,,,2004,15-64 ,UNODC Estimate ,,"d, e ",
,,Zambia,0.30,,,,,2003,15-64,UNODC Estimate,,"e, f",
,West and Central Africa,Cabo Verde,0.06,,,,,2004,15-64,UNODC Estimate,,d,
Americas,Caribbean,Bahamas,0.11,0.04,0.60,,,2008,15-64,Government source,SS,"d, e",
,,Bahamas,0.14,,,,,2003,15-64 ,UNODC Estimate ,,"d, e ",
,,Barbados,0.30,,,,,2006,12-65,CICAD,HHS,,
,,Dominican Republic,0.05,0.02,0.52,,,2008,15-64,Government source,SS,"d, e",
,,Dominican Republic,0.16,,,,,2000,15-64 ,UNODC Estimate ,,"d, e ",
,,Haiti,0.24,0.06,0.41,,,2010,15-64,UNODC Estimate,SS,"d, e",
,,Haiti,0.56,0.11,1.17,,,2005,15-64,UNODC Estimate,SS,"d, e",
,,Jamaica,0.23,0.06,0.40,,,2010,15-64,UNODC Estimate,SS,"d, e",
,,Puerto Rico,0.42,0.09,0.99,,,2005,15-64,Government source,SS,,
,,Saint Lucia,0.17,0.03,0.30,,,2010,15-64,UNODC Estimate,SS,"d, e",
,,Trinidad and Tobago,0.14,0.02,0.26,,,2010,15-64,UNODC Estimate,SS,"d, e",
,,Trinidad and Tobago,0.13,0.04,0.62,,,2006,15-64,UNODC Estimate,SS,"d, e",
,Central America,Belize,0.30,,,,,2005,12-65,Government source,HHS,,
,,Costa Rica,0.20,,,0.32,0.07,2010,15-64,ARQ,HHS,,
,,Costa Rica,0.15,0.11,0.38,,,2006,12-70,ARQ,SS,"d, e",
,,El Salvador,0.02,,,0.04,0.00,2014,12-65,ARQ,HHS,,
,,El Salvador,0.02,0.00,0.03,,,2005,15-64,UNODC Estimate,HHS,"a, e",
,,Guatemala,0.08,,,,,2005,15-64,UNODC Estimate,,,
,,Honduras,0.08,,,,,2005,15-64,UNODC Estimate,,d,
,,Nicaragua,0.01,0.00,0.02,,,2006,12-65,UNODC Estimate,"HHS, c",e,
,,Panama,0.04,,,,,2015,12-65,ARQ,HHS,,Urban areas
,,Panama,0.40,,,,,2003,15-64,UNODC Estimate,,d,
,North America,Canada,0.90,,,1.16,0.64,2015,15-64,ARQ,HHS,,
,,Canada,0.50,,,0.80,0.20,2013,15-64,ARQ,HHS,,
,,Mexico,0.10,,,,,2011,12-65,Government source,HHS,,
,,United States of America,1.20,,,1.60,0.90,2015,15-64,ARQ,HHS,,Data not directly comparable to previous years.
,,United States of America,1.10,,,1.40,0.90,2014,15-64,ARQ,HHS,,
,South America,Argentina,0.10,,,0.10,0.10,2011,16-65,ARQ,HHS,,
,,Argentina,0.20,,,,,2008,12-65,Government source ,HHS,,
,,Bolivia (Plurinational State of),0.01,,,0.02,0.00,2013,12-65,ARQ,HHS,,
,,Bolivia (Plurinational State of),0.10,,,0.00,0.10,2007,12-65,ARQ,HHS,,
,,Brazil,0.20,,,,,2016,15-64,Government source,HHS,,
,,Brazil,0.20,,,,,2005,15-64 ,UNODC Estimate ,,,
,,Chile,0.08,,,0.10,0.05,2014,15-64,ARQ,HHS,,
,,Chile,0.05,,,0.10,0.00,2012,15-64,ARQ,HHS,,
,,Colombia,0.19,0.09,0.29,0.29,0.10,2013,12-65,ARQ,HHS,,
,,Colombia,0.28,0.17,0.39,0.41,0.17,2008,12-65,ARQ,HHS,,
,,Ecuador,0.01,,,0.01,,2013,12 - 64,Encuesta Nacional Sobre el uso de drogas en poblacion General ,HHS,,
,,Ecuador,0.20,,,,,2005,15-64 ,UNODC Estimate ,HHS,,
,,Guyana,0.28,0.08,0.48,,,2010,15-64,UNODC Estimate,SS,"d, e",
,,Guyana,0.13,,,,,2002,15-64,UNODC Estimate,,,
,,Paraguay,0.09,,,,,2005,15-64,UNODC Estimate,,,
,,Peru,0.04,,,,,2010,12-65,Government source,HHS,,
,,Peru,0.04,,,,,2006,12-64,ARQ,HHS,c,
,,Suriname,0.10,0.01,0.21,,,2007,12-65,Government source,HHS,"c, e",
,,Suriname,0.10,,,,,2002,15-64 ,UNODC Estimate ,,,
,,Uruguay,0.40,,,0.70,0.10,2014,15-65,ARQ,HHS,,
,,Uruguay,0.20,,,0.20,0.10,2011,15-65,ARQ,HHS,,
,,Venezuela (Bolivarian Republic of),0.13,,,,,2011,15-64,Government source,HHS,,
,,Venezuela (Bolivarian Republic of),0.04,,,,,2005,15-64 ,Government source ,HHS ,"a, e ",
Asia,Central Asia and Transcaucasia,Armenia,0.10,,,,,2005,15-64,UNODC Estimate,HHS,,
,,Georgia,0.54,0.17,0.91,,,2009,15-64,ARQ,SS,"a, b, d, e",
,,Georgia,1.72,0.70,2.40,,,2007,15-64 ,ARQ ,SS ,"d, e ",
,East and South-East Asia,Cambodia,0.14,,,,,2003,15-64,UNODC Estimate,,,
,,"China, Hong Kong SAR",0.24,0.06,0.76,,,2008,15-64,Government source,SS,"d, e",
,,Indonesia,0.03,,,0.05,0.00,2015,10-60,ARQ,HHS,,20 of 34 provinces.
,,Indonesia,0.19,,,,,2010,10-60,ARQ,HHS,,
,,Japan,0.10,,,,,2009,15-64,UNODC Estimate,HHS,e   ,
,,Malaysia,0.44,,,,,2003,15-64,UNODC Estimate,,"e, g",
,,Philippines,0.74,,,,,2012/13,10-69,ARQ,HHS,,17 of 18 regions.
,,Philippines,0.18,,,,,2004,15-64,Government source,HHS,,
,,Republic of Korea,0.08,0.04,0.08,,,2004,15-64,ARQ,HHS,"c, e",
,,Taiwan Province of China,0.52,,,,,2005,15-64,AMCEWG,,a,
,,Thailand,0.30,,,,,2007,15-64,ARQ,HHS,,
,,Viet Nam,0.22,,,,,2003,15-64,UNODC Estimate,,,
,Near and Middle East /South-West Asia,Israel,1.00,,,1.27,0.58,2009,18-40,ARQ,HHS,,
,,Israel,0.70,,,,,2005,18-40 ,ARQ ,HHS ,,
,,Lebanon,1.00,0.30,1.70,,,2009,15-64,Government source/ NGO/Academic research,SS,"d, e",
,,Lebanon,0.50,,,,,2001,15-64 ,UNODC Estimate ,,"d, e ",
Europe,Eastern Europe,Belarus,0.31,0.30,0.33,,,2007,15-64,ESPAD/UNODC Estimate,SS,"c, d, e",
,,Republic of Moldova,0.10,,,,,2010,15-64,Government sources,HHS,,
,,Republic of Moldova,0.32,,,,,2008,15-64 ,Government source,HHS ,,
,,Russian Federation,0.68,,,,,2007,15-64,ESPAD/UNODC Estimate,SS,"d, e",Approximate adjustment
,,Ukraine,0.57,0.01,1.12,,,2015,15-64,ESPAD/UNODC Estimate,SS,"d, e",
