CANNABIS,,,,,,,,,,,,,
,,Ukraine,0.93,0.37,1.49,,,2011,15-64,ESPAD/UNODC Estimate,SS,"d, e",
,South-Eastern Europe,Albania,0.20,,,,,2014,15-64,Public health research,HHS,,
,,Albania,1.19,0.54,1.84,,,2011,15-64,ESPAD/UNODC Estimate,SS,d ,
,,Bosnia and Herzegovina,0.50,0.11,0.88,,,2011,15-64,ARQ,SS,"b, d",
,,Bosnia and Herzegovina,1.42,0.37,2.67,,,2008,15-64 ,ESPAD/UNODC Estimate ,SS ,"c, d, e ",
,,Bulgaria,1.20,,,1.70,0.80,2012,15-64,ARQ,HHS,,
,,Bulgaria,0.70,,,,,2008,15-64,ARQ,HHS,,
,,Croatia,0.60,,,1.00,0.20,2015,15-64,ARQ,HHS,,
,,Croatia,0.40,,,,,2011,15-64,ARQ,HHS,,
,,Montenegro,0.90,0.24,1.57,,,2015,15-64,ESPAD/UNODC Estimate,SS,"d, e",
,,Montenegro,0.86,0.31,1.40,,,2011,15-64,ESPAD/UNODC Estimate,SS,d ,
,,Romania,0.30,,,0.10,0.20,2013,15-64,ARQ,HHS,,
,,Romania,0.20,,,,,2010,15-64 ,ARQ,HHS,,
,,Serbia,0.10,,,0.10,0.10,2014,18-64,Government sources,HHS,,
,,Serbia,0.63,0.39,0.86,,,2008,15-64,Government sources,HHS,"a, e",
,,The former Yugoslav Republic of Macedonia,0.63,0.12,1.14,,,2015,15-64,ESPAD/UNODC Estimate,SS,"d, e",
,,The former Yugoslav Republic of Macedonia,0.75,0.20,1.82,,,2008,15-64,ESPAD/UNODC Estimate,SS,"d, e",
,,Turkey,0.26,,,,,2003,15-64,UNODC Estimate,,,
,Western and Central Europe,Austria,0.40,0.20,0.70,0.50,0.40,2015,15-64,Government source,HHS,,
,,Austria,0.50,,,,,2008,15-64,ARQ,HHS,,
,,Belgium,0.90,,,,,2008,15-64,ARQ,HHS,,
,,Belgium,1.12,,,,,2007,15-64 ,ESPAD/UNODC Estimate ,SS ,"c, d, e ",
,,Cyprus,0.30,,,0.50,0.10,2012,15-64,ARQ,HHS,,
,,Cyprus,0.60,,,,,2009,15-64,ARQ,HHS,,
,,Czechia,1.60,,,2.30,0.90,2014,15-64 ,ARQ,HHS,,
,,Czechia,1.10,,,1.20,0.90,2013,15-64,ARQ,HHS,,
,,Denmark,0.20,,,0.40,0.10,2013,16-64,ARQ,HHS,,
,,Denmark,0.30,,,,,2010,16-64,ARQ,HHS,,
,,Estonia,1.20,,,,,2008,15-64,ARQ,HHS,,
,,Estonia,1.70,,,,,2003,15-64 ,ARQ ,HHS ,,
,,Finland,1.10,,,1.60,0.50,2014,15-64,ARQ,HHS,,
,,Finland,0.40,,,0.60,0.20,2010,15-64,ARQ,HHS,,
,,France,0.90,,,1.20,0.60,2014,15-64,ARQ,HHS,,
,,France,0.30,,,0.40,0.10,2010,15-64,ARQ,HHS,,
,,Germany,0.60,0.50,0.90,0.70,0.60,2015,18-64,Academic,HHS,,
,,Germany,0.40,,,0.70,0.10,2012,18-64,ARQ,HHS,,
,,Greece,0.20,,,,,2004,15-64,ARQ,,,
,,Hungary,0.88,,,0.99,0.81,2015,15-64,ARQ,HHS,,
,,Hungary,0.50,0.20,0.80,,,2007,18-64,ARQ,HHS,,
,,Iceland,0.52,0.37,0.67,,,2015,15-64,ESPAD/UNODC Estimate,SS,"d, e",
,,Iceland,0.58,0.16,1.00,,,2011,15-64,ESPAD/UNODC Estimate,SS,d,
,,Ireland,0.50,,,0.60,0.30,2011,15-64,ARQ,HHS,,
,,Ireland,1.20,,,,,2007,15-64 ,Government source ,,,
,,Italy,0.40,,,0.60,0.30,2013-2014,15-64,ARQ,HHS,,New Survey reported
,,Italy,0.06,,,0.11,0.02,2012,15-64,ARQ,HHS,,
,,Latvia,0.30,,,0.50,0.20,2015,15-64,Government source,HHS,,
,,Latvia,0.40,,,0.60,0.10,2011,15-64,ARQ,HHS,,
,,Lithuania,0.20,,,0.20,0.10,2012,15-64,ARQ,HHS,,
,,Lithuania,1.00,,,,,2008,15-64,ARQ,HHS,,
,,Luxembourg,0.48,0.11,0.86,,,2010,15-64,ARQ,SS,d ,
,,Luxembourg,0.71,0.23,1.20,,,2006,15-64,ARQ,SS,d ,
,,Malta,0.00,,,,,2013,15-64,ARQ,HHS,,
,,Malta,0.86,0.31,1.40,,,2011,15-64,ESPAD/UNODC Estimate,SS,d,
,,Netherlands,2.50,,,,,2014,15-64,ARQ,HHS,,
,,Netherlands,1.40,,,,,2009,15-64,ARQ,HHS,,
,,Norway,0.60,,,1.00,0.20,2015,16-64,ARQ,HHS,,
,,Norway,0.10,,,0.20,0.10,2014,16-64,ARQ,HHS,,
,,Poland,0.30,,,0.70,,2014/15,15-64,ARQ,HHS,,
,,Poland,0.10,,,,,2012,15-64,ARQ,HHS,,
,,Portugal,0.30,,,0.40,0.10,2012,15-64,ARQ,HHS,,
,,Portugal,0.40,,,0.60,0.20,2007,15-64,ARQ,HHS,,
,,Slovakia,0.60,,,1.00,0.10,2015,15-64,ARQ,HHS,,
,,Slovakia,0.46,,,,,2010,15-64,EMCDDA,HHS,,
,,Slovenia,0.30,,,0.40,0.20,2012,15-64,ARQ,HHS,,
,,Slovenia,0.46,0.18,0.74,,,2008,18-65,ARQ,HHS,e,
,,Spain,0.70,,,1.00,0.30,2013,15-64,ARQ,HHS,,
,,Spain,0.70,,,1.00,0.40,2011,15-64,ARQ,HHS,,
,,Sweden,0.10,,,,,2008,15-64,ARQ,HHS,,
,,Sweden,0.25,,,,,2007,15-64 ,ESPAD/UNODC Estimate ,SS ,"d, e ",
,,Switzerland,0.31,,,,,2015,15-64,ARQ,HHS,a,
,,Switzerland,0.22,,,0.31,0.13,2013,15-64,ARQ,HHS,,
,,United Kingdom (England and Wales),1.50,,,2.18,0.83,2015/16,16-59,Government source,HHS,,Crime Survey for England and Wales*
,,United Kingdom (England and Wales),1.70,,,2.50,0.90,2014/15,16-59,ARQ,HHS,,Crime Survey for England and Wales*
,,United Kingdom (Northern Ireland),0.80,,,,,2014/15,15-64,Government source,HHS,,
,,United Kingdom (Northern Ireland),1.10,,,,,2011,15-64,Government source,HHS,,
,,United Kingdom (Scotland),1.70,,,2.66,0.78,2014/15,16-64,Government source ,HHS,,
,,United Kingdom (Scotland),1.70,,,2.60,0.70,2012/13,16-64,Government source,HHS,,
Oceania,Oceania,Australia,2.50,,,3.20,1.80,2013,14+,ARQ,HHS,,
,,Australia,3.00,,,,,2010,14+,ARQ,HHS,,
,,New Zealand,2.00,1.70,2.40,2.70,1.50,2013,15+,Government source,HHS,,2012/13 New Zealand Health Survey: Drug Module
,,New Zealand,2.60,2.00,3.10,3.60,1.50,2008,16-64,Government source,HHS,,2007/08 New Zealand Alcohol and Drug Use Survey
,Oceania,Australia,2.50,,,3.20,1.80,2013,14+,ARQ,HHS,,
"Except where the prevalence values are taken from household surveys, changes between years need to be interpreted with caution as they might reflect a change in the methodology or the data source from which the estimate was derived and therefore should not be considered as a change in prevalence.

Method: HHS=Household survey, SS=School survey, A=Adjusted from other sources, I=Indirect estimates, R=Registry.

UNODC Adjustments: a=adjusted for age (15-64), b=population-based/household-type study/survey, c=adjusted from a limited geographic population-based study/survey, d=adjusted from school/youth survey, e=adjusted from lifetime/monthly prevalence adjusted to annual prevalence, f=adjusted from specialized population surveys (including Rapid Assessments), g=adjusted from treatment data, h=adjusted from drug registries, i=adjusted from HIV, problematic drug users (only for heroin), j=lifetime prevalence reported, x=figure may include non-medical use of prescription opioids, z=figures may also include other non-ATS stimulants, z*= figures include the use of prescription stimulants (non-prescription/non-therapeutic use). 

The 'Method' and 'Adjustment/notes' columns have been completed only for more recent data included in previous and present issues of the World Drug Report. ",,,,,,,,,,,,,
PRESCRIPTION STIMULANTS,,,,,,,,,,,,,
Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) ,,,,,,,,,,,,,
Region,Sub-region,Country,Best,Low,High,Male,Female,Year,Age,Source,Method,"Adjustment/
 notes",Specific notes
America,Central America,Costa Rica,1.10,,,1.29,0.90,2010,15-64,ARQ,HHS,z**,
,,Costa Rica,1.30,,,,,2006,12-70,ARQ ,,z**,
,,El Salvador,0.36,,,0.54,0.36,2014,15-64,ARQ,HHS,,
,,Panama,0.05,,,0.06,0.04,2015,12-65,ARQ,HHS,,Urban areas
,North America,Canada,0.28,,,0.33,,2015,15-64,ARQ,HHS,,
,,Canada,0.20,,,,,2013,15-64,ARQ,HHS,,
,,United States of America,2.50,,,2.90,2.10,2015,15-64,ARQ,HHS,,Data not directly comparable to previous years.
,,United States of America,1.60,,,1.80,1.50,2014,15-64,ARQ,HHS,z**,Amphetamine
,South America,Argentina,0.10,,,0.10,0.10,2011,16-65,Government source,HHS,z**,Only includes prescription stimulants
,,Argentina,0.20,,,,,2008,12-65,Government Source ,HHS ,z,
,,Bolivia (Plurinational State of),0.26,,,0.42,0.12,2013,12-65,ARQ,HHS,,
,,Brazil,0.70,,,,,2005,15-64,ARQ,HHS,,
,,Chile,0.14,,,0.17,0.12,2014,15-64,ARQ,HHS,,
,,Chile,0.25,,,0.10,0.40,2012,15-64,ARQ,HHS,,
,,Colombia,0.04,,,0.07,0.01,2013,12-65,ARQ,HHS,z**,
,,Colombia,0.06,,,0.06,0.05,2008,12-65,ARQ/Government,HHS,,
,,Ecuador,0.10,,,,,2007,12-65,ARQ,,,
,,Peru,0.11,,,,,2010,12-65,ARQ,HHS,z**,
,,Peru,0.20,,,,,2006,12-64,ARQ,HHS,,
,,Uruguay,0.30,,,,,2006,15-64 ,ARQ ,HHS ,Z**,
,,Venezuela (Bolivarian Republic of),0.37,,,,,2011,12-65,ARQ,,,
Asia,South-West Asia,Pakistan,0.10,,,0.10,0.13,2012,15-64,Government/UNODC,HHS,,
,East and South-East Asia,Philippines,0.02,,,,,2012/13,10-69,ARQ,HHS,,17 of 18 regions.
Oceania,Oceania,Australia,14.10,,,,,2013,14+,ARQ,HHS,,
,,New Zealand,0.50,0.30,0.70,0.70,0.40,2008,16-64,Government Source,HHS,,2007/08 New Zealand Alcohol and Drug Use Survey
"Except where the prevalence values are taken from household surveys, changes between years need to be interpreted with caution as they might reflect a change in the methodology or the data source from which the estimate was derived and therefore should not be considered as a change in prevalence.

Where a country has reported a combined prevalence for amphetamines and other stimulants these have been reported under ""Amphetamines"" and a flag included to state if this includes prescription stimulants. Where a combined prevalence has not been reported by the Member State and the prescription stimulant prevalence is known, this has been reported under ""Prescription stimulants"".  

Method: HHS=Household survey, SS=School survey, A=Adjusted from other sources, I=Indirect estimates, R=Registry.

UNODC Adjustments: a=adjusted for age (15-64), b=population-based/household-type study/survey, c=adjusted from a limited geographic population-based study/survey, d=adjusted from school/youth survey, e=adjusted from lifetime/monthly prevalence adjusted to annual prevalence, f=adjusted from specialized population surveys (including Rapid Assessments), g=adjusted from treatment data, h=adjusted from drug registries, i=adjusted from HIV, problematic drug users (only for heroin), j=lifetime prevalence reported, x=figure may include non-medical use of prescription opioids, z=figures may also include other non-ATS stimulants, z*= figures include the use of prescription stimulants (non-prescription/non-therapeutic use),  z**= figures only include prescription stimulants. 

The 'Method' and 'Adjustment/notes' columns have been completed only for more recent data included in previous and present issues of the World Drug Report. ",,,,,,,,,,,,,
"TRANQUILLIZERS and SEDATIVES
(includes barbiturates and benzodiazepines)",,,,,,,,,,
Annual prevalence of Use as a percentage of the population ages 15-64 (unless otherwise stated),,,,,,,,,,
Region,Sub-region,Country,Total,Male,Female,Year,Age,Source,Method,Specific notes
Africa,North Africa,Algeria,0.59,0.54,0.63,2010,12 +,ARQ,HHS,
,,Morocco,0.18,,,2004,15+,ARQ/Government,HHS,
,,Tunisia,0.52,,,2013,15-64,ARQ,HHS,
Americas,Caribbean,Jamaica,0.10,,0.20,2001,12 - 55,ARQ,HHS,
,Central America,Costa Rica,1.15,1.00,1.31,2010,12 - 70,ARQ,HHS,
,,El Salvador,1.76,1.52,1.94,2014,12-65,ARQ,HHS,
,,El Salvador,1.42,,1.42,2006,12 - 70,ARQ,HHS,
,,Guatemala,2.90,,3.16,2005,15 - 64,ARQ,HHS,
,,Panama,0.75,0.67,0.82,2015,12-65,ARQ,HHS,Urban areas
,South America,Argentina,1.30,1.20,1.40,2011,16 - 65,ARQ,HHS,
,,Argentina,1.30,1.00,1.60,2010,12-65,ARQ,HHS,
,,Bolivia (Plurinational State of),1.87,2.07,1.71,2013,12 - 65,ARQ,HHS,
,,Bolivia (Plurinational State of),2.60,2.00,3.10,2007,12 - 65,ARQ,HHS,
,,Brazil,2.10,,,2005,15-64,ARQ,"HHS, c",Benzodiazepines
,,Chile,1.20,0.97,1.43,2014,15-64,ARQ,HHS,
,,Chile,1.53,1.33,1.71,2012,15 - 64,ARQ,HHS,
,,Colombia,0.53,0.55,0.51,2013,12 - 65,Government source,HHS,
,,Colombia,0.52,0.52,0.52,2008,12 - 65,ARQ/Government,HHS,
,,Ecuador,1.50,,,2007,12 - 65,ARQ,HHS,
,,Peru,1.29,1.08,1.46,2010,12 - 65,ARQ,HHS,
,,Peru,2.98,2.44,3.40,2006,15 - 74,ARQ,HHS,
,,Uruguay,2.20,2.00,2.50,2014,15-65,ARQ,HHS,
,,Uruguay,1.30,1.20,1.03,2011,15 - 65,ARQ,HHS,
,,Venezuela (Bolivarian Republic of),2.13,1.76,2.50,2011,12 - 65,ARQ,HHS,
,North America,Canada,0.35,,,2015,15 - 64,ARQ,HHS,
,,Canada,0.20,,0.20,2009,15 - 64,ARQ,HHS,
,,Mexico,0.30,0.30,0.20,2011,12-65,ARQ,HHS,
,,Mexico,6.80,,,2009,15 - 64,ARQ,HHS,
,,United States of America,3.10,3.20,3.10,2015,15-64,ARQ,HHS,Includes benzodiazepines and barbiturates. Not directly comparable to previous years.
,,United States of America,2.60,2.70,2.50,2014,15-64,ARQ,HHS,
,,Indonesia,0.19,0.35,0.05,2015,10-60,ARQ,HHS,20 of 34 provinces. Includes benzodiazepines and barbiturates.
Asia,East and South-East Asia,Indonesia,0.84,0.76,1.15,2012,15 - 60,ARQ,HHS,
,,Myanmar,0.13,,,2002,15 - 64,ARQ,HHS,
,,"China, Hong Kong SAR",0.02,0.03,0.01,2013,11 - 64,ARQ,HHS,
,,"China, Hong Kong SAR",0.02,0.04,0.01,2012,15 - 64,ARQ,HHS,
,Near and Middle East /South-West Asia,Afghanistan,0.80,,0.10,2003,15 - 64,UNODC/ Govt. Source,HHS,
,,Israel,2.79,3.10,2.67,2009,18-40,ARQ,HHS,
,,Israel,1.90,,,2005,18 - 40,ARQ,HHS,
,,Pakistan,1.40,1.30,1.50,2012,15-64,Government/UNODC,HHS/I,
,,Pakistan,2.00,,,2001,18 - 40,ARQ,HHS,
Europe,Eastern Europe,Republic of Moldova,0.50,0.49,0.01,2011,15 - 55,ARQ,HHS,
,South-Eastern Europe,Bulgaria,4.80,3.00,6.70,2012,15 - 64,ARQ,HHS,
,,Bulgaria,5.20,3.20,7.20,2008,15-64,ARQ,HHS,
,,Croatia,17.30,13.10,21.50,2015,15-64,ARQ,HHS,
,,Croatia,16.20,11.40,20.90,2011,15 - 64,ARQ,HHS,
,,Romania,0.70,1.10,0.40,2013,15-64,ARQ,HHS,
,,Romania,2.10,1.20,3.00,2010,0 - 0,ARQ,HHS,
,,The former Yugoslav Republic of Macedonia,10.00,,70.00,2008,15 - 64,ARQ,HHS,
,,Turkey,5.10,3.00,7.20,2011,15 - 64,ARQ,HHS,
,Western and Central Europe,Austria,8.90,8.10,9.80,2015,15-64,Government source,HHS,
,,Cyprus,4.20,3.00,5.30,2012,15 - 64,ARQ,HHS,
,,Czechia,18.30,15.50,21.20,2014,15-64 ,ARQ,HHS,
,,Czechia,12.30,12.60,12.10,2013,15-64,ARQ,HHS,
,,Finland,1.80,2.20,1.40,2014,15-64,ARQ,HHS,
,,Finland,2.30,2.20,2.40,2010,15 - 64,ARQ,HHS,
,,Germany,5.40,4.60,6.20,2012,18 - 64,ARQ,HHS,
,,Germany,4.30,3.70,4.90,2009,18 - 64,ARQ,HHS,
,,Greece,0.70,,1.00,2004,15 - 64,ARQ,HHS,
,,Greece,0.30,,0.10,1998,15 - 64,ARQ,HHS,
,,Hungary,5.09,4.88,5.26,2015,15-64,ARQ,HHS,
,,Hungary,13.10,,19.00,2007,18 - 64,ARQ,HHS,
,,Italy,13.80,10.40,17.10,2013-14,15-64,Government source,HHS,
,,Italy,3.85,2.94,4.63,2012,15 - 64,ARQ,HHS,
,,Latvia,7.20,4.30,10.00,2011,15 - 64,ARQ,HHS,
,,Latvia,6.50,5.10,7.80,2007,1 5- 64,ARQ,HHS,
,,Lithuania,11.85,7.50,15.60,2008,15 - 64,ARQ,HHS,
,,Lithuania,1.20,,1.40,2003,15 - 64,ARQ,HHS,
,,Malta,0.90,,1.00,2008,15 - 64,ARQ,HHS,
,,Netherlands,0.50,0.20,0.80,2014,15-64,ARQ,HHS,
,,Netherlands,10.10,7.20,13.10,2009,15 - 64,ARQ,HHS,
,,Norway,4.30,3.10,5.50,2015,16-64,ARQ,HHS,Benzodiazepines
,,Norway,4.50,3.90,5.20,2014,16-64,ARQ,HHS,
,,Poland,2.20,1.40,3.00,2012,15 - 64,ARQ,HHS,
,,Poland,3.30,2.20,4.30,2010,15 - 64,ARQ,HHS,
,,Portugal,0.60,0.60,0.60,2012,15 - 64,ARQ,HHS,
,,Portugal,12.00,6.30,17.50,2007,15 - 64,ARQ,HHS,
,,Slovakia,4.00,,4.20,2006,15 - 64,ARQ,HHS,
,,Slovakia,6.10,,6.40,2004,15 - 64,ARQ,HHS,
,,Spain,0.90,0.80,1.00,2013,15 - 64,ARQ,HHS,
,,Spain,1.20,1.10,1.20,2011,15 - 64,ARQ,HHS,
,,Sweden,2.78,2.70,2.86,2013,17 - 64,ARQ,HHS,
,,Sweden,2.00,,2.00,2003,16 - 24,ARQ,HHS,
,,United Kingdom (England and Wales),0.38,,,2015/16,16-59,Government source,HHS,Crime Survey for England and Wales*
,,United Kingdom (England and Wales),0.50,0.70,0.40,2014/15,16-59,ARQ,HHS,Crime Survey for England and Wales*
,,United Kingdom (Scotland),0.60,0.93,0.28,2014/15,16-64,Government source ,HHS,
,,United Kingdom (Scotland),0.80,1.40,0.20,2012/13,16-64,Government source,HHS,
Oceania,Oceania,Australia,1.60,1.80,1.50,2014,14 +,Government source,HHS,
,,Australia,1.50,1.40,1.50,2010,14 +,ARQ,HHS,
,,New Zealand,1.70,2.40,1.10,2008,16 - 64,Government source,HHS,"Includes prescription sedatives, kava, and GHB"
"Except where the prevalence values are taken from household surveys, changes between years need to be interpreted with caution as they might reflect a change in the methodology or the data source from which the estimate was derived and therefore should not be considered as a change in prevalence.

Method: HHS=Household survey, I=Indirect estimates, c = adjusted from a limited gepgraphic population-based study/survey",,,,,,,,,,
,,,,,,,,,,,
"OPIOIDS
(includes opiates, other illicit opioids and prescription opioids)",,,,,,,,,,,,,
Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) ,,,,,,,,,,,,,
Region,SubRegion,Country,Best,Low,High,Male,Female,Year,Age,Source,Method,"Adjustment/
 notes",Specific notes
Africa,East Africa,Mauritius,1.29,,,,,2009,15-64,Government source,,"a, x",Opioids
,Southern Africa,South Africa,0.50,,,,,2008,15-64,ARQ,HHS,x,
,West and Central Africa,Democratic Republic of the Congo,0.17,,,,,2004,15-64,Cure Research estimate,,x,Includes heroin and prescription opioids
Americas,Caribbean,Barbados,0.23,0.16,0.29,,,2006,15-64,UNODC Estimate,,x,Includes heroin and prescription opioids
,,Dominican Republic,0.14,,,,,2001,15-64 ,UNODC Estimate ,,,
,,Haiti,0.20,0.19,0.22,,,2006,15-64,ARQ,SS,"a, d, e, x",
,,Jamaica,1.00,0.50,1.50,,,2006,15-64,UNODC Estimate,SS,"d,e,x",Includes prescription opioids
,Central America,Belize,0.30,,,,,2005,12-65,CICAD/MEM,HHS,,Opiates
,,El Salvador,0.14,,,,,2005,15-64,UNODC Estimate,HHS,"e, x",
,North America,Mexico,0.38,0.19,0.56,,,2011,12-65,Government source,HHS,x,Includes prescription opioids
,,Mexico,0.10,,,,,2008,15-64,ARQ    ,HHS,,
,,United States of America,6.01,,,,,2015,15-64,UNODC Estimate,,x,
,,United States of America,5.41,,,,,2014,15-64,UNODC Estimate,,"a, x",
,South America,Argentina,0.19,0.13,0.26,,,2007,15-64 ,UNODC Estimate ,,"e, x",
,,Chile,0.58,,,0.54,0.62,2014,15-64,ARQ,HHS,,Opioids
,,Uruguay,0.18,0.05,0.30,,,2011,15-64,UNODC Estimate,HHS,"e, x",
Asia,Central Asia and Transcaucasia,Armenia,0.16,0.14,0.20,,,2009,15-64,Armenian Pubic Health Associations,I,x,Includes prescription opioids
,,Armenia,0.28,0.24,0.33,,,2007,15-64,Government Source,,,
,,Georgia,1.36,1.33,1.40,,,2010,15-64,SCAD Report - Academic Research,I,x,Includes prescription opioids
,,Georgia,0.58,,,,,2006,15-64 ,UNODC Estimate ,I,,
,,Kazakhstan,1.00,,,,,2006,15-64,UNODC (GAP survey),I,x,Includes prescription opioids
,,Kyrgyzstan,0.80,,,,,2006,15-64,UNODC (GAP survey),I,x,Includes prescription opioids
,,Tajikistan,0.54,,,,,2006,15-64,UNODC (GAP survey),I,x,Includes prescription opioids
,,Turkmenistan,0.32,,,,,2007,15-64,ARQ,,,Opiates
,,Uzbekistan,0.80,,,,,2006,15-64,UNODC (GAP survey),I,x,Includes prescription opioids
,East and South-East Asia,Philippines,0.05,,,,,2007,15-64,Reference Group to the UN on HIV and IDU,I,,
,,Singapore,0.33,0.28,0.38,,,2010,15-64,UNODC Estimate,I,x,
,Near and Middle East /South-West Asia,Afghanistan,2.92,2.65,3.20,4.30,1.45,2009,15-64,UNODC/ Govt. Source,HHS,x,
,,Pakistan,2.40,2.00,3.10,3.40,1.40,2012,15-64,Government/UNODC,HHS/I,x,
,,Pakistan,0.70,,,,,2006,15-64 ,UNODC (GAP survey) ,I,x,
,South Asia,Bangladesh,0.40,,,,,2003,15-64,ARQ,HHS,"a, e, x",Includes prescription opioids
,,Maldives,1.46,,,,,2012,15-64,Government source,HHS,x,Includes prescription opioids
Europe,Eastern Europe,Russian Federation,2.36,,,,,2015,15-64,Government/UNODC Estimate,I,x,"Number of persons in treatment for opioid use disorders, adjusted with a (latency) multiplier of 5.  "
,,Russian Federation,2.29,,,,,2010,15-64,Government source,I,x,"Number of persons in treatment for opioid use disorders, adjusted with a (latency) multiplier of 5.  "
,South-Eastern Europe,Bulgaria,0.51,,,,,2011,15-64,ARQ,I,x,Includes prescription opioids
,,Bulgaria,0.44,,,,,2008,15-64 ,ARQ ,I ,x,Includes prescription opioids
,,Serbia,5.15,,,4.15,6.10,2014,18-64,Government sources,HHS,x,Includes prescription opioids
,,The former Yugoslav Republic of Macedonia,0.50,,,,,2005,15-64,ARQ,,x,Includes prescription opioids
,Western & Central Europe,Austria,0.50,0.49,0.51,,,2013,15-64,EMCDDA,I,,Problem opioids users
,,Austria,0.53,0.52,0.55,,,2011,15-64,EMCDDA,I,,Problem opioids users
,,Belgium,0.20,,,0.30,0.10,2013,15-64,ARQ,HHS,,Opioid users
,,Belgium,0.20,,,,,2008,15-64,ARQ,HHS,,
,,Czechia,0.16,0.14,0.18,,,2014,15-64,EMCDDA,I,,"Problem opioid users (Heroin, but includes methadone, buprenorphine)"
,,Czechia,0.15,,,,,2013,15-64,EMCDDA,I,,"Problem opioid users (Heroin, but includes methadone, buprenorphine)"
,,Estonia,1.53,,,,,2008,15-64,ARQ,I,x,Problem Opioid users
,,Finland,0.41,0.38,0.45,,,2012,15-64,EMCDDA,I,,Problem opioid users
,,Finland,0.60,,,0.70,0.50,2010,15-64,ARQ,HHS,x,Prescription opioids
,,France,0.52,0.44,0.74,,,2013/14,15-64,EMCDDA,I,x,Problem opioid users. Includes some prescription opioids.
,,Germany,0.40,,,0.40,0.30,2012,18-64,ARQ,HHS,x,Opioid users (heroin and illicit opioids)
,,Germany,0.20,,,0.30,0.10,2009,18-64,ARQ,HHS,X,Opioid users (heroin and illicit opioids)
,,Hungary,0.13,,,0.17,0.00,2015,15-64,ARQ,HHS,,Includes poppy seed tea
,,Italy,0.80,,,1.10,0.60,2013/14,15-64,ARQ,HHS,,"Includes heroin, methadone and morphine"
,,Latvia,0.50,,,0.90,0.20,2015,15-64,ARQ,HHS,x,May also include homemade opioids 
,,Slovakia,0.30,,,0.50,0.00,2015,15-64,ARQ,HHS,,
,,Slovenia,0.37,0.34,0.41,,,2013,15-64,EMCDDA,I,,Problem opioid users
,,Sweden,0.53,,,0.59,0.46,2013,17-64,ARQ,HHS,,Opioids
,,Sweden,0.23,0.19,0.28,,,2007,15-64,ARQ,I,,Opioids
Oceania,Oceania,Australia,3.30,,,3.30,3.20,2013,14+,UNODC Estimate,HHS,x,
,,Australia,3.40,3.10,3.70,,,2010,15-64,Government source,HHS,"a,x",
,,New Zealand,1.10,0.80,1.40,1.50,1.00,2008,16-64,Government source,HHS, x,Prescription opioids and/or opiates
,,New Zealand,0.42,,,,,2006,15-45 ,ARQ ,,,
